author	doi	year	author_pos	file_id	guessed_gender	gender
aakash	doi:10.1038/s41586-020-03052-3	2020	first	s41586-020-03052-3	MALE	MALE
aanindeeta	doi:10.1038/nature17185	2016	first	nature17185	NA	NA
aaron	doi:10.1038/s41586-020-3009-y	2020	first	s41586-020-3009-y	MALE	MALE
aaron	doi:10.1038/nature07885	2009	last	nature07885	MALE	MALE
aaron	doi:10.1038/nature03831	2005	last	nature03831	MALE	MALE
aaron	doi:10.1038/nature04790	2006	last	nature04790	MALE	MALE
aaron	doi:10.1038/nature20781	2016	last	nature20781	MALE	MALE
aaron	doi:10.1038/nature23912	2017	first	nature23912	MALE	MALE
aaron	doi:10.1038/nature13124	2014	first	nature13124	MALE	MALE
aaron	doi:10.1038/s41586-018-0537-9	2018	first	s41586-018-0537-9	MALE	MALE
aaron	doi:10.1038/nature12572	2013	first	nature12572	MALE	MALE
aaron	doi:10.1038/nature25760	2018	first	nature25760	MALE	MALE
aaron	doi:10.1038/s41586-020-2944-y	2020	first	s41586-020-2944-y	MALE	MALE
aaron	doi:10.1038/s41586-018-0823-6	2019	first	s41586-018-0823-6	MALE	MALE
aaron	doi:10.1038/s41586-020-2864-x	2020	last	s41586-020-2864-x	MALE	MALE
aaron	doi:10.1038/s41586-019-0953-5	2019	first	s41586-019-0953-5	MALE	MALE
aaron	doi:10.1038/nature06830	2008	first	nature06830	MALE	MALE
aaron	doi:10.1038/nature14654	2015	first	nature14654	MALE	MALE
aaron	doi:10.1038/nature10921	2012	first	nature10921	MALE	MALE
aaron	doi:10.1038/nature11085	2012	first	nature11085	MALE	MALE
aaron	doi:10.1038/s41586-019-1598-0	2019	last	s41586-019-1598-0	MALE	MALE
aaron	doi:10.1038/nature10845	2012	first	nature10845	MALE	MALE
aaron	doi:10.1038/nature07084	2008	first	nature07084	MALE	MALE
aaron	doi:10.1038/nature10553	2011	first	nature10553	MALE	MALE
aaron	doi:10.1038/nature13790	2014	first	nature13790	MALE	MALE
aaron	doi:10.1038/s41586-020-2288-7	2020	first	s41586-020-2288-7	MALE	MALE
aart	doi:10.1038/nature05194	2006	last	nature05194	MALE	MALE
aashish	doi:10.1038/nature17391	2016	last	nature17391	MALE	MALE
aashish	doi:10.1038/nature10954	2012	first	nature10954	MALE	MALE
aashish	doi:10.1038/nature19112	2016	first	nature19112	MALE	MALE
aaswath	doi:10.1038/nature13883	2014	first	nature13883	NA	NA
abbhirami	doi:10.1038/nature06934	2008	first	nature06934	FEMALE	FEMALE
abdelrahim	doi:10.1038/nature17182	2016	first	nature17182	MALE	MALE
abderrazak	doi:10.1038/nature09166	2010	first	nature09166	MALE	MALE
abdolrahman	doi:10.1038/nature03914	2005	first	nature03914	MALE	MALE
abdul	doi:10.1038/s41586-020-1963-z	2020	first	s41586-020-1963-z	MALE	MALE
abdul	doi:10.1038/nature13117	2014	first	nature13117	MALE	MALE
abdulrasheed	doi:10.1038/nature06266	2007	first	nature06266	MALE	MALE
abed	doi:10.1038/nature11272	2012	first	nature11272	MALE	MALE
abel	doi:10.1038/nature17661	2016	last	nature17661	MALE	MALE
abhijit	doi:10.1038/s41586-019-1347-4	2019	first	s41586-019-1347-4	MALE	MALE
abhinav	doi:10.1038/s41586-019-1040-7	2019	first	s41586-019-1040-7	MALE	MALE
abhinav	doi:10.1038/nature23879	2017	first	nature23879	MALE	MALE
abhinav	doi:10.1038/nature12970	2014	first	nature12970	MALE	MALE
abhishek	doi:10.1038/s41586-020-2704-z	2020	first	s41586-020-2704-z	MALE	MALE
abhishek	doi:10.1038/nature12778	2013	last	nature12778	MALE	MALE
abhishek	doi:10.1038/nature10503	2011	first	nature10503	MALE	MALE
abigail	doi:10.1038/s41586-018-0610-4	2018	first	s41586-018-0610-4	FEMALE	FEMALE
abigail	doi:10.1038/nature04764	2006	first	nature04764	FEMALE	FEMALE
abraham	doi:10.1038/nature19799	2016	last	nature19799	MALE	MALE
abraham	doi:10.1038/nature10921	2012	last	nature10921	MALE	MALE
abraham	doi:10.1038/nature07059	2008	last	nature07059	MALE	MALE
abul	doi:10.1038/nature21380	2017	first	nature21380	MALE	MALE
achim	doi:10.1038/nature14978	2015	first	nature14978	MALE	MALE
achim	doi:10.1038/nature08776	2010	last	nature08776	MALE	MALE
adam	doi:10.1038/nature24489	2017	first	nature24489	MALE	MALE
adam	doi:10.1038/nature14177	2015	first	nature14177	MALE	MALE
adam	doi:10.1038/nature11775	2012	first	nature11775	MALE	MALE
adam	doi:10.1038/s41586-018-0339-0	2018	last	s41586-018-0339-0	MALE	MALE
adam	doi:10.1038/nature03681	2005	last	nature03681	MALE	MALE
adam	doi:10.1038/nature07200	2008	first	nature07200	MALE	MALE
adam	doi:10.1038/nature16544	2016	last	nature16544	MALE	MALE
adam	doi:10.1038/nature04649	2006	first	nature04649	MALE	MALE
adam	doi:10.1038/s41586-019-1457-z	2019	first	s41586-019-1457-z	MALE	MALE
adam	doi:10.1038/nature07529	2008	last	nature07529	MALE	MALE
adam	doi:10.1038/nature19840	2016	first	nature19840	MALE	MALE
adam	doi:10.1038/nature12114	2013	first	nature12114	MALE	MALE
adam	doi:10.1038/s41586-020-2769-8	2020	last	s41586-020-2769-8	MALE	MALE
adam	doi:10.1038/nature11626	2012	first	nature11626	MALE	MALE
adam	doi:10.1038/nature11307	2012	first	nature11307	MALE	MALE
adam	doi:10.1038/nature17663	2016	first	nature17663	MALE	MALE
adam	doi:10.1038/s41586-019-0911-2	2019	last	s41586-019-0911-2	MALE	MALE
adam	doi:10.1038/s41586-019-1263-7	2019	first	s41586-019-1263-7	MALE	MALE
adam	doi:10.1038/nature04618	2006	first	nature04618	MALE	MALE
adam	doi:10.1038/nature08257	2009	last	nature08257	MALE	MALE
adam	doi:10.1038/s41586-018-0444-0	2018	last	s41586-018-0444-0	MALE	MALE
adam	doi:10.1038/nature08472	2009	last	nature08472	MALE	MALE
adam	doi:10.1038/nature06431	2007	first	nature06431	MALE	MALE
adam	doi:10.1038/nature03691	2005	first	nature03691	MALE	MALE
adam	doi:10.1038/s41586-020-1967-8	2020	last	s41586-020-1967-8	MALE	MALE
adam	doi:10.1038/nature11630	2012	last	nature11630	MALE	MALE
adam	doi:10.1038/nature05261	2006	last	nature05261	MALE	MALE
adam	doi:10.1038/nature11926	2013	first	nature11926	MALE	MALE
adam	doi:10.1038/nature07522	2008	first	nature07522	MALE	MALE
adam	doi:10.1038/nature14893	2015	last	nature14893	MALE	MALE
adam	doi:10.1038/nature13615	2014	last	nature13615	MALE	MALE
adam	doi:10.1038/nature04718	2006	last	nature04718	MALE	MALE
adam	doi:10.1038/nature19769	2016	first	nature19769	MALE	MALE
adam	doi:10.1038/nature22822	2017	first	nature22822	MALE	MALE
adam	doi:10.1038/s41586-018-0124-0	2018	last	s41586-018-0124-0	MALE	MALE
adam	doi:10.1038/s41586-019-1244-x	2019	first	s41586-019-1244-x	MALE	MALE
adam	doi:10.1038/nature08844	2010	first	nature08844	MALE	MALE
adam	doi:10.1038/s41586-018-0692-z	2018	last	s41586-018-0692-z	MALE	MALE
adam	doi:10.1038/nature22811	2017	last	nature22811	MALE	MALE
adam	doi:10.1038/nature08686	2009	last	nature08686	MALE	MALE
adam	doi:10.1038/s41586-018-0126-y	2018	first	s41586-018-0126-y	MALE	MALE
adam	doi:10.1038/nature08860	2010	last	nature08860	MALE	MALE
adam	doi:10.1038/nature04560	2006	last	nature04560	MALE	MALE
adam	doi:10.1038/nature04334	2006	first	nature04334	MALE	MALE
adam	doi:10.1038/nature24668	2017	first	nature24668	MALE	MALE
adam	doi:10.1038/s41586-020-2831-6	2020	last	s41586-020-2831-6	MALE	MALE
adam	doi:10.1038/nature13953	2014	first	nature13953	MALE	MALE
adan	doi:10.1038/s41586-018-0845-0	2019	last	s41586-018-0845-0	MALE	MALE
adan	doi:10.1038/nature09347	2010	first	nature09347	MALE	MALE
adán	doi:10.1038/nature04294	2006	last	nature04294	NA	NA
aday	doi:10.1038/s41586-020-2038-x	2020	last	s41586-020-2038-x	MALE	MALE
addi	doi:10.1038/nature06356	2007	last	nature06356	MALE	MALE
addison	doi:10.1038/nature13922	2014	last	nature13922	MALE	MALE
adel	doi:10.1038/nature13770	2014	first	nature13770	MALE	MALE
adela	doi:10.1038/nature19758	2016	last	nature19758	FEMALE	FEMALE
adelaine	doi:10.1038/nature09956	2011	first	nature09956	FEMALE	FEMALE
adele	doi:10.1038/nature15702	2015	first	nature15702	FEMALE	FEMALE
adele	doi:10.1038/nature13136	2014	last	nature13136	FEMALE	FEMALE
adelina	doi:10.1038/nature09097	2010	last	nature09097	FEMALE	FEMALE
adina	doi:10.1038/nature08522	2009	last	nature08522	FEMALE	FEMALE
aditi	doi:10.1038/s41586-020-2323-8	2020	first	s41586-020-2323-8	FEMALE	FEMALE
aditya	doi:10.1038/s41586-019-1711-4	2019	last	s41586-019-1711-4	MALE	MALE
aditya	doi:10.1038/nature13044	2014	first	nature13044	MALE	MALE
aditya	doi:10.1038/s41586-020-2794-7	2020	first	s41586-020-2794-7	MALE	MALE
adolfo	doi:10.1038/nature12286	2013	first	nature12286	MALE	MALE
adrian	doi:10.1038/nature12348	2013	last	nature12348	MALE	MALE
adrian	doi:10.1038/nature14867	2015	last	nature14867	MALE	MALE
adrian	doi:10.1038/s41586-019-0936-6	2019	first	s41586-019-0936-6	MALE	MALE
adrian	doi:10.1038/nature13035	2014	last	nature13035	MALE	MALE
adrian	doi:10.1038/nature07539	2008	first	nature07539	MALE	MALE
adrian	doi:10.1038/nature20829	2017	first	nature20829	MALE	MALE
adrian	doi:10.1038/s41586-019-1618-0	2019	last	s41586-019-1618-0	MALE	MALE
adrian	doi:10.1038/nature13971	2014	first	nature13971	MALE	MALE
adrian	doi:10.1038/nature09042	2010	first	nature09042	MALE	MALE
adrian	doi:10.1038/s41586-020-2265-1	2020	last	s41586-020-2265-1	MALE	MALE
adrian	doi:10.1038/s41586-019-1168-5	2019	first	s41586-019-1168-5	MALE	MALE
adrian	doi:10.1038/nature09672	2011	last	nature09672	MALE	MALE
adriana	doi:10.1038/s41586-019-1533-4	2019	last	s41586-019-1533-4	FEMALE	FEMALE
adriana	doi:10.1038/nature19069	2016	first	nature19069	FEMALE	FEMALE
adriana	doi:10.1038/s41586-018-0603-3	2018	first	s41586-018-0603-3	FEMALE	FEMALE
adrianna	doi:10.1038/nature09200	2010	first	nature09200	FEMALE	FEMALE
adriano	doi:10.1038/nature18326	2016	last	nature18326	MALE	MALE
adriano	doi:10.1038/s41586-019-1673-6	2019	last	s41586-019-1673-6	MALE	MALE
adrien	doi:10.1038/nature18327	2016	first	nature18327	MALE	MALE
adrien	doi:10.1038/nature09148	2010	first	nature09148	MALE	MALE
adrien	doi:10.1038/nature17170	2016	first	nature17170	MALE	MALE
adrien	doi:10.1038/nature12900	2014	last	nature12900	MALE	MALE
adrienne	doi:10.1038/nature05124	2006	first	nature05124	FEMALE	FEMALE
ady	doi:10.1038/nature06855	2008	last	nature06855	MALE	MALE
ady	doi:10.1038/nature22052	2017	last	nature22052	MALE	MALE
afsaneh	doi:10.1038/nature07287	2008	last	nature07287	FEMALE	FEMALE
afsheen	doi:10.1038/nature04968	2006	last	nature04968	FEMALE	FEMALE
agnes	doi:10.1038/nature14019	2014	first	nature14019	FEMALE	FEMALE
agnès	doi:10.1038/nature10708	2011	last	nature10708	FEMALE	FEMALE
ágnes	doi:10.1038/nature10744	2012	last	nature10744	FEMALE	FEMALE
agnidipta	doi:10.1038/nature04510	2006	first	nature04510	NA	NA
agnieszka	doi:10.1038/nature08319	2009	first	nature08319	FEMALE	FEMALE
agostino	doi:10.1038/nature06853	2008	first	nature06853	MALE	MALE
agus	doi:10.1038/nature19754	2016	last	nature19754	MALE	MALE
agus	doi:10.1038/s41586-020-2641-x	2020	last	s41586-020-2641-x	MALE	MALE
agus	doi:10.1038/nature12683	2013	first	nature12683	MALE	MALE
agustin	doi:10.1038/nature11567	2012	first	nature11567	MALE	MALE
aharon	doi:10.1038/s41586-020-2891-7	2020	first	s41586-020-2891-7	MALE	MALE
ahmad	doi:10.1038/nature12761	2013	first	nature12761	MALE	MALE
ahmed	doi:10.1038/nature12054	2013	first	nature12054	MALE	MALE
ahmed	doi:10.1038/nature03594	2005	last	nature03594	MALE	MALE
ahmed	doi:10.1038/nature16486	2016	last	nature16486	MALE	MALE
ahmed	doi:10.1038/nature17938	2016	first	nature17938	MALE	MALE
ahmed	doi:10.1038/nature06111	2007	last	nature06111	MALE	MALE
ahmet	doi:10.1038/nature24268	2017	last	nature24268	MALE	MALE
ahmet	doi:10.1038/nature12591	2013	first	nature12591	MALE	MALE
ahmet	doi:10.1038/s41586-020-03055-0	2020	last	s41586-020-03055-0	MALE	MALE
ahmet	doi:10.1038/nature25462	2018	last	nature25462	MALE	MALE
ai-hui	doi:10.1038/nature19058	2016	first	nature19058	NA	NA
aidan	doi:10.1038/nature13263	2014	last	nature13263	MALE	MALE
aimée	doi:10.1038/nature03438	2005	first	nature03438	FEMALE	FEMALE
aimen	doi:10.1038/nature12675	2013	last	nature12675	MALE	MALE
aimin	doi:10.1038/nature11997	2013	last	nature11997	MALE	MALE
aiming	doi:10.1038/nature11152	2012	first	nature11152	MALE	MALE
ainul	doi:10.1038/s41586-018-0732-8	2018	last	s41586-018-0732-8	FEMALE	FEMALE
aishwarya	doi:10.1038/s41586-018-0458-7	2018	first	s41586-018-0458-7	FEMALE	FEMALE
aitor	doi:10.1038/nature06216	2007	first	nature06216	MALE	MALE
aiwu	doi:10.1038/nature09505	2010	first	nature09505	MALE	MALE
ajay	doi:10.1038/s41586-018-0855-y	2019	first	s41586-018-0855-y	MALE	MALE
ajay	doi:10.1038/nature05620	2007	last	nature05620	MALE	MALE
ajaya	doi:10.1038/nature23466	2017	first	nature23466	MALE	MALE
ajithkumar	doi:10.1038/s41586-020-2040-3	2020	first	s41586-020-2040-3	MALE	MALE
akankshi	doi:10.1038/nature14603	2015	first	nature14603	FEMALE	FEMALE
akash	doi:10.1038/nature13154	2014	last	nature13154	MALE	MALE
åke	doi:10.1038/nature11837	2013	last	nature11837	MALE	MALE
akemi	doi:10.1038/nature05537	2007	last	nature05537	FEMALE	FEMALE
akhilesh	doi:10.1038/nature09654	2011	last	nature09654	MALE	MALE
aki	doi:10.1038/nature04832	2006	first	nature04832	MALE	MALE
akihide	doi:10.1038/s41586-019-1618-0	2019	first	s41586-019-1618-0	MALE	MALE
akihiko	doi:10.1038/nature04003	2005	last	nature04003	MALE	MALE
akihiro	doi:10.1038/nature12423	2013	last	nature12423	MALE	MALE
akihiro	doi:10.1038/nature13775	2014	first	nature13775	MALE	MALE
akihiro	doi:10.1038/nature15392	2015	first	nature15392	MALE	MALE
akiko	doi:10.1038/nature09041	2010	first	nature09041	FEMALE	FEMALE
akiko	doi:10.1038/nature07765	2009	first	nature07765	FEMALE	FEMALE
