file_id	year	authors	journo_file_id
d41586-017-05921-w	2017	Erik Vance	d41586-017-05921-w
d41586-017-07291-9	2017	Elie Dolgin	d41586-017-07291-9
d41586-017-07523-y	2017	Katherine Bourzac	d41586-017-07523-y
d41586-017-07844-y	2017	Shannon Hall	d41586-017-07844-y
d41586-017-08404-0	2017	Richard Van Noorden	d41586-017-08404-0
d41586-017-08542-5	2017		d41586-017-08542-5
d41586-017-08548-z	2017		d41586-017-08548-z
index.html	2017		index.html
what-the-numbers-say-about-refugees-1.21548	2017		what-the-numbers-say-about-refugees-1.21548
the-rise-and-fall-and-rise-again-of-23andme-1.22801	2017	Erika Check Hayden	550174a
to-stay-young-kill-zombie-cells-1.22872	2017	Megan Scudellari	550448a
the-shape-of-work-to-come-1.22839	2017	Emily Anthes	550316a
how-fracking-is-upending-the-chemical-industry-1.22753	2017	Mark Peplow	550026a
out-of-the-syrian-crisis-a-data-revolution-takes-shape-1.22886	2017	Amy Maxmen	550444a
how-the-united-states-plans-to-trap-its-biggest-stash-of-nuclear-weapons-waste-in-glass-1.22788	2017	Jeff Tollefson	550172a
the-future-of-work-1.22840	2017		550315a
the-bitter-battle-over-the-world-s-most-popular-insecticides-1.22972	2017	Daniel Cressey	551156a
the-new-thermodynamics-how-quantum-physics-is-bending-the-rules-1.22937	2017	Zeeya Merali	551020a
a-quantum-pioneer-unlocks-matter-s-hidden-secrets-1.22682	2017	Elizabeth Gibney	549448a
the-drug-maker-s-guide-to-the-galaxy-1.22683	2017	Asher Mullard	549445a
why-fake-islands-might-be-a-real-boon-for-science-1.22752	2017	Emma Marris	550022a
creeping-earth-could-hold-secret-to-deadly-landslides-1.22485	2017	Jane Palmer	548384a
how-the-internet-of-cells-has-biologists-buzzing-1.22645	2017	Monya Baker	549322a
the-secret-to-germany-s-scientific-excellence-1.22563	2017	Alison Abbott	549018a
how-poverty-affects-the-brain-1.22280	2017	Carina Storrs	547150a
the-strange-topology-that-is-reshaping-physics-1.22316	2017	Davide Castelvecchi	547272a
cassini-s-13-years-of-stunning-saturn-science-in-pictures-1.22514	2017	Alexandra Witze	548512a
the-new-economy-of-excrement-1.22591	2017	Chelsea Wald	549146a
china-s-embrace-of-embryo-selection-raises-thorny-questions-1.22468	2017	David Cyranoski	548272a
china-s-quest-to-become-a-space-science-superpower-1.22359	2017	Jane Qiu	547394a
the-race-to-reveal-antimatter-s-secrets-1.22383	2017	Elizabeth Gibney	548020a
the-best-kept-secrets-to-winning-grants-1.22038	2017	Kendall Powell	545399a
how-to-map-the-circuits-that-define-us-1.22437	2017	Kerri Smith	548150a
the-time-machine-reconstructing-ancient-venice-s-social-networks-1.22147	2017	Alison Abbott	546341a
the-mathematicians-who-want-to-save-democracy-1.22113	2017	Carrie Arnold	546200a
how-quantum-trickery-can-scramble-cause-and-effect-1.22208	2017	Philip Ball	546590a
the-fight-to-save-thousands-of-lives-with-sea-floor-sensors-1.22178	2017	Alexandra Witze	546466a
the-wooden-skyscrapers-that-could-help-to-cool-the-planet-1.21992	2017	Jeff Tollefson	545280a
how-to-build-a-human-cell-atlas-1.22239	2017	Anna Nowogrodzki	547024a
how-the-genomics-revolution-could-finally-help-africa-1.21767	2017	Linda Nordling	544020a
single-cell-biology-1.22241	2017		547019a
dna-s-secret-weapon-against-knots-and-tangles-1.21838	2017	Elie Dolgin	544284a
the-trickiest-family-tree-in-biology-1.22240	2017	Ewen Callaway	547020a
antarctica-s-sleeping-ice-giant-could-wake-soon-1.21808	2017	Jane Qiu	544152a
the-next-big-hit-in-molecule-hollywood-1.21887	2017	Mark Peplow	544408a
the-shock-tactics-set-to-shake-up-immunology-1.21918	2017	Douglas Fox	545020a
biodiversity-moves-beyond-counting-species-1.22079	2017	Rachel Cernansky	546022a
the-secret-war-against-counterfeit-science-1.21960	2017	David Cyranoski	545148a
arctic-2-0-what-happens-after-all-the-ice-goes-1.21431	2017	Julia Rosen	542152a
the-turkish-paradox-can-scientists-thrive-in-a-state-of-emergency-1.21475	2017	Alison Abbott	542286a
how-facebook-fake-news-and-friends-are-warping-your-memory-1.21596	2017	Laura Spinney	543168a
an-epigenetics-gold-rush-new-controls-for-gene-expression-1.21513	2017	Cassandra Willyard	542406a
human-migration-1.21547	2017		543021a
hunted-haunted-stateless-and-scared-the-stories-of-refugee-scientists-1.21546	2017	Gunjan Sinha	543024a
